rootGameId universeId name creatorName visits
6960224940 2667231262 "poop game dirty" drhew_pro2009V3 623
199360838 92383954 "Primal Eclipse: Legends Begining " SinoIogy 187
60900125 26749194 "MIDI Test Place" vicman353 229
3245372819 1172321988 "Pepsi Man" oldmc 66462
5238434991 1833582431 "happy birthday kim " ProutaPatate 1051
6887088945 2627769742 "Logo quiz (with math)" nowyr91 319
12849482194 4498058734 "Moscow RP [] 1.0" "Москва RP [Группа!]" 7123
116020423636430 7009042312 "San Roque de Navotas Parish" earvintsantiago 281
6066503369 2200068683 Obstacle 2XxVelvet_StarxX2 313
17646221597 6043373276 "Void’s RNG [UPDATİNG)!" yenired_special 401
3148945486 1136799118 "Roblox Horror Stories" Originalsavageguy345 1454
4820875708 1631678637 "magic our playground" wentibet 113
3933105402 1331334524 "LOUD LOUD" iCo8DHXgecd1y 167
138319682360584 6867046076 "(Discontinued) Killstreak: Insanity  " Bromd201 601
6414965721 2386124511 "Shy girl army " mlpfan1345 148
6797846262 2580567166 "[FREE VIP] BrookhavenRP But Under Water Tycoon" "Xotic Studio" 2205224
8733289011 3316397251 엔딩게임[빌딩] robloxlikelybech1260 220
8380753174 3208466281 "🎁[Random Godly [Event]🎁" RBX_1231232 102
1590821702 616775975 //:UNKNOWN:// -Ghosts- 110
6778822 25597599 "Capture The Flag !!! New!" khaizhek 132
4479061664 1429231754 "OLR (Dead Game)" DevJorgeVibez 622
6236207125 2290480698 "Winkeltje taak developer" Syrvfjd 101
7901221016 3057781828 "The Cenotaph, Whitehall, London" "[UK] British Forces" 3402
6017223 28265982 "The House Of The Heads" 007assassian 120
10231939592 3748460097 "SoulShatters Combat System" Someguyinda_game 152
1170509024 480354569 "[ Content Deleted ]" l0qM 1423
3588200913 1261338944 "RIP TIX " furkan0247 168
6362737442 2358260318 "Manage my experiences" sinobbee 131
4704125508 1559695478 "Sam vs Atrocity" SOGGY_7854 147
2105471592 737641700 "[ Content Deleted ]" FannyPound 285
1654558911 633361186 "Hang out" Blue_wely 225
5683897323 2007089364 "M I L S I M" YeTr_eTr 147
18768203657 6358615683 "Tower of Inverted Obstacles" Ex0cr0wn 101
2912263303 1052689483 "Testing new DB" YahirSSJB2 1356
6837261496 2600716489 "bikotn hell" "BIKotN Haters" 149
141666281 66021716 "Miami Police Patrol RP ✯  [Update]" ChrisVI 80041
5004850362 1725358745 "Checker Click!" "'Simple Games'" 1927
5747356222 2038712915 "♡aesthetic soft♡homestore♡" MadiThePumpkins 499
18205074756 6172064504 "Obby for some gears" LASTofAnjojingo 792
6872968138 2620003317 "GET YOUR STUFF from school HURRY" r_kbf 342
335531376 124195936 "luigi1234567890555's Place Number: 19" Aerialister 137
6091573109 2212844494 "[ Content Deleted ]" sdsdfgfgfd 320
14005349163 4852036656 BatCave K1teyyy 2304
6981567661 2678747727 "Bee Keepers!" alanpena0827 714
6258967040 2301984949 "DIE LIT" "masters of latency" 121
3358037549 1203800585 "The Normal Cube" Buildingsssss 255
6101044315 2218080918 "Test for handcuffs" AmericanR1ver 103
3171564393 1145137508 "war of the worlds" jav190510 8617
6452935322 2406850871 "Rainbow easy obby" CarlunWow 206
11753632939 4161198576 "Work At A Hotel | Nova Hotels X" xSa_m 1124
9676020056 3593342210 "Defeat the Zombies to Eat McDonalds" YasbloxTheGamer 146
686989918 294764896 "Snow Warfare (game released alpha stage)" "JADE INCORPORATED" 403
2125943894 744245798 "escape the Youtubers" oiluha 437
5170072715 1802149874 "A quite place." Spooky2QFC 331
5530621373 1933149236 "liberty county free version" teslawinner 390
5768877002 2046288157 "🎊✨ANIMATED PARKOUR ✨🎊   !!NEW!!" espaho 392
4500987132 1439880487 Catford traphints 188
6544177551 2455937064 "Deformed Bacons + Gear Machine" ayo_perqs 126
9938331035 3666184448 "Ang Probinsyano " angsha 439
3120088351 1126272952 "[🏋️‍♂️STRENGTH NEEDED TO REBIRTH DECREASED🏋️‍♂️]" BoxyBlox14 489
5920665661 2123506883 "3D why? sans fight" aidenram2314 179
14731038 41258390 "zomibe hunt 1" REDFORED 781
7116279135 2753909344 Singing Luigi168968 832
5152202253 1793940183 "[content removed]" tsomapsleaked 238
16766919341 5762463368 "Guess The Smiling Critters Cartoon Morphs! QUIZ" "Profound Blue" 192
1706928221 643247779 "Boss battle" bodieoz5000 2882
6067817660 2200713691 "PJ MASKS (CHRISTMAS UPDATE) ❄️❄️" IdcGelo 122018
16272023199 5614853825 "Sword Fighting " SerenityWarrior 783
64376240 11339309 "Build Your Own Noob Trap!" stotheth62 162
3768031278 1301083941 "tsunami en la ciudad 2" leoblock35 169
5810433135 2063397353 Meeting ExtoNox 209
4454414227 1418362773 "Shoveling simulator 2.0" JonuxasXD 160
4784199921 1609899890 "Backup Pacifico RolePlay" CoolAndrei101 2557
5392281338 1888335364 "Cool's Role-Play (New House)" "Official coolkids group" 192
3903986879 1327680562 "MINERALS MINERALS" ggzvuRuBe5 323
14785363001 5095722439 " Obby But You’re On a Bike" Acoolxxx 35762
1273869430 516674815 "Gummy obby" Lightingcar1 1108
3062007036 1104343347 "ALT: Research Facility " "Artificial Laboratory" 1013
4753990 411497 "Under sea adventure" kevinmatson 170
52790083 16689884 "david20119's Place" david20119 132
5721625235 2028171808 "TRIPOD VS THE GOLDEN GATE BRIDGE" PorscheAaron 969
2702298379 976427374 "The Last Guest Hangout!" chewbahca 245
179871187 85433067 " Boys VS Girls *Capture The Flag* Beta" BattleMaker101 150
6391523534 2373863504 La💗terraza villaandrade 101
3390673318 1212628420 "Training Center" "Solea Hotels" 253
5845785119 2081907241 "[Craft The Meatmaker/Moneymaker] Booga Olympics" Gobtain 1031
6077271435 2205475008 "Cool game" pukedanli 279
4199677400 1374621601 "[COOLDOWN] Save Tree House From Bad Guys" Steve_ghast 117
113492743676115 7181985455 " ANARCHIE" muadh28013 2164
11679697272 4138498187 "Curses Obby" "Bad Games Corporation" 446
12219189793 4305873497 "Z0MBERS (ALPHA)" Gonshagger76 2478
127915134738956 6827454486 "(ОБНОВА) Зцпч на авто поезде" CROB5252 1787
10959662922 3951078840 "Poland's Planet Ball RP" fredtruff 255
10226305155 3746952763 "WFF ARENA" DAREALYABOIRICKY 106
87353856852104 6787128398 "Buxlandia (Video Set)" Maximus_UKMan 31735
656314299 275822742 "Blox Paradise" "Drowsy Games" 269573340
3790078923 1306958064 "GET GET" Happy1204 514
2175950801 760036959 "asimo3089_Secretos's Place" asimo3089_Secretos 230
16532077580 5692288237 "peach madddddddddddddddd" peachza_19042 106
558013687 220301829 "Nacht Der Rosen" Nikoliabelenski43 372
8557860624 3263307824 "Collect A Coin For No Reason" BedWarsGodqo 1732
12807030896 4484413406 youch theoneandonlycrew 189
6306238406 2327799630 Mali MarcFromMarkka 1304
5035991599 1739878083 "PIGGY if i destroyed it" FuntimeFreddyPlays01 866
10204613395 3741158441 "GOLDEN HIVEMIND DEMO [DISCONTINUED]" Rowlenquill 1251
1864846375 680351926 "(UPDATE) Meep City " kjhukdkuufves 6323
5501030104 1922984338 "slendy tubb ies ||| [OLD]" hffgffggggLOL 1360
659950942 278078432 "OverPowered (IN-COMPLETE)" ZiaxorRBLX 176
2649202217 951907897 no C00PE_R 4954
14606941596 5039229508 "LifeBlox  [update]" MaximiusK 118
4664528383 1540911540 "The Haunted House" litop_0 105
1405617129 560296155 "My uncle's basement " CHXI1S 131
42978569 12679375 "Be a Passenger On a Bus Or Helicopter!" dawnrocks 391
7425618750 2893200327 "Good Vibes Tower" camicristmas245 122
118777671 57356557 "Peach castle showcase" sonicfan1325454 151
6955337231 2664671222 "Los Dos Rocarnales Concert 2" "Eustacio Pliego - Los Dos RoCarnales" 341
27776402 35102200 "Exotic Training" Sabatarge 368
5961163779 2145350035 "family life beta" jackbrobro3405 182
744616019 326637351 "RED VS BLUE: CAPTURE THE FLAG!" KingOsak 124
3547462513 1252404579 "Mcdonalds vs Burger King" Supreme_Trickstar 995
8741557358 3318815678 ~WESTMINSTER~ "(- Grenadier Guards -)" 4487
373302971 140651837 "The RoCity Beta testing" xXClubPHungaryXx 139
5343929709 1871880835 "BOIBOI_JOHNNY's Place" BOIBOI_JOHNNY 313
6191148259 2267510749 "The IQ Obby" sadaintherashid21 278
15659439 38337927 "[ Content Deleted ]" Makkkkkkk 1900
18738242455 6348746513 "Brazilian and Real Citizenship? [^^]" florzinhagamer567 142
14402209 42061965 "+| CarmelSkiez |+" eozuku 232
2892678693 1046480379 "SPEED SIMULATOR SPEED SIMULATOR SPEED SIMULATOR SP" Gamie_Pagie 14614
11531451944 4095348581 "Wronice RP Polska Wieś" Zetor_80 154
7276134247 2839373002 "among us tycoon" ifyouhaterobolz 188
442808966 169061737 "Computer Core" jaydenrobloxreviewer 126
11405691638 4057645108 "りりちよを見つけよう/Find the Ririchiyo [デモ版/BETA]" PN_japan0922 749
3021914792 1090212969 "sword god simulator update #" anhnhut951 3235
3772989109 1302450765 "Were Were" justint2254 213
6270656308 2310091451 "Survive the war (new update!!!)" pulinho1 411
6674711388 2513667307 "ROBLOX The battles" TapStaz 101
